Board ID,Variant,Slot,Reference,Resistance (ohm),Display Value,Manufacturer,Exact Manufacturer Part Number,D1 Exact MPN,D1 Reel/Lot/Bin Control,Coating,Packaging / Identification,Purpose
B-01,B,01,R1,470,470 ohm,Yageo,RC0402FR-07470RL,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-01 / R1 470 ohm / RC0402FR-07470RL; flag-label matching harness; no PCB-surface label,Original-circuit control
B-02,B,02,R1,1000,1.0 kohm,Yageo,RC0402FR-071KL,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-02 / R1 1.0 kohm / RC0402FR-071KL; flag-label matching harness; no PCB-surface label,Replicated prior experiment value
B-03,B,03,R1,1000,1.0 kohm,Yageo,RC0402FR-071KL,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-03 / R1 1.0 kohm / RC0402FR-071KL; flag-label matching harness; no PCB-surface label,Replicated prior experiment value
B-04,B,04,R1,1500,1.5 kohm,Yageo,RC0402FR-071K5L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-04 / R1 1.5 kohm / RC0402FR-071K5L; flag-label matching harness; no PCB-surface label,Replicated prior experiment value
B-05,B,05,R1,1500,1.5 kohm,Yageo,RC0402FR-071K5L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-05 / R1 1.5 kohm / RC0402FR-071K5L; flag-label matching harness; no PCB-surface label,Replicated prior experiment value
B-06,B,06,R1,2200,2.2 kohm,Yageo,RC0402FR-072K2L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-06 / R1 2.2 kohm / RC0402FR-072K2L; flag-label matching harness; no PCB-surface label,Upper-range screening value
B-07,B,07,R1,2700,2.7 kohm,Yageo,RC0402FR-072K7L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-07 / R1 2.7 kohm / RC0402FR-072K7L; flag-label matching harness; no PCB-surface label,Replicated prior experiment value
B-08,B,08,R1,2700,2.7 kohm,Yageo,RC0402FR-072K7L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-08 / R1 2.7 kohm / RC0402FR-072K7L; flag-label matching harness; no PCB-surface label,Replicated prior experiment value
B-09,B,09,R1,3300,3.3 kohm,Yageo,RC0402FR-073K3L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-09 / R1 3.3 kohm / RC0402FR-073K3L; flag-label matching harness; no PCB-surface label,Upper-range screening value
B-10,B,10,R1,4700,4.7 kohm,Yageo,RC0402FR-074K7L,AM2520ZGC09,Use and record one common reel/lot/bin across all 20 A/B boards when available; stop for WFE disposition before mixing lots,"NONE - no conformal, UV, acrylic, or Parylene coating",Individually bag and label B-10 / R1 4.7 kohm / RC0402FR-074K7L; flag-label matching harness; no PCB-surface label,Exploratory high-resistance endpoint; not a proven production value
